Number,Facing,Comments,Wing,Hostel
101,Outside,,GT1,AH-1
102,Inside,,GT1,AH-1
103,Outside,,GT1,AH-1
104,Inside,,GT1,AH-1
105,Outside,,GT1,AH-1
106,Outside,,GT2,AH-1
107,Outside,,GT2,AH-1
108,Outside,,GT2,AH-1
109,Inside,,GT2,AH-1
110,Outside,,GT2,AH-1
111,Outside,,GT3,AH-1
112,Inside,,GT3,AH-1
113,Outside,,GT3,AH-1
114,Inside,,GT3,AH-1
115,Outside,,GT3,AH-1
116,Outside,,GT4,AH-1
117,Outside,,GT4,AH-1
118,Outside,,GT4,AH-1
119,Inside,,GT4,AH-1
120,Outside,,GT4,AH-1
201,Outside,,FT1,AH-1
202,Inside,,FT1,AH-1
203,Outside,,FT1,AH-1
204,Inside,,FT1,AH-1
205,Outside,,FT1,AH-1
206,Outside,,FT2,AH-1
207,Outside,,FT2,AH-1
208,Outside,,FT2,AH-1
209,Inside,,FT2,AH-1
210,Outside,,FT3,AH-1
211,Outside,,FT3,AH-1
212,Inside,,FT3,AH-1
213,Outside,,FT3,AH-1
214,Inside,,FT3,AH-1
215,Outside,,FT4,AH-1
216,Outside,,FT4,AH-1
217,Outside,,FT4,AH-1
218,Outside,,FT4,AH-1
219,Inside,,FT4,AH-1
220,Outside,,FT4,AH-1
301,Outside,,ST1,AH-1
302,Inside,,ST1,AH-1
303,Outside,,ST1,AH-1
304,Inside,,ST1,AH-1
305,Outside,,ST1,AH-1
306,Outside,,ST2,AH-1
307,Outside,,ST2,AH-1
308,Outside,,ST2,AH-1
309,Inside,,ST2,AH-1
310,Outside,,ST2,AH-1
311,Outside,,ST3,AH-1
312,Inside,,ST3,AH-1
313,Outside,,ST3,AH-1
314,Inside,,ST3,AH-1
315,Outside,,ST3,AH-1
316,Outside,,ST4,AH-1
317,Outside,,ST4,AH-1
318,Outside,,ST4,AH-1
319,Inside,,ST4,AH-1
320,Outside,,ST4,AH-1
101,Outside,,GT1,AH-2
102,Inside,,GT1,AH-2
103,Outside,,GT1,AH-2
104,Inside,,GT1,AH-2
105,Outside,,GT1,AH-2
106,Outside,,GT2,AH-2
107,Outside,,GT2,AH-2
108,Outside,,GT2,AH-2
109,Inside,,GT2,AH-2
110,Outside,,GT2,AH-2
111,Outside,,GT3,AH-2
112,Inside,,GT3,AH-2
113,Outside,,GT3,AH-2
114,Inside,,GT3,AH-2
115,Outside,,GT3,AH-2
116,Outside,,GT4,AH-2
117,Outside,,GT4,AH-2
118,Outside,,GT4,AH-2
119,Inside,,GT4,AH-2
120,Outside,,GT4,AH-2
201,Outside,,FT1,AH-2
202,Inside,,FT1,AH-2
203,Outside,,FT1,AH-2
204,Inside,,FT1,AH-2
205,Outside,,FT1,AH-2
206,Outside,,FT2,AH-2
207,Outside,,FT2,AH-2
208,Outside,,FT2,AH-2
209,Inside,,FT2,AH-2
210,Outside,,FT3,AH-2
211,Outside,,FT3,AH-2
212,Inside,,FT3,AH-2
213,Outside,,FT3,AH-2
214,Inside,,FT3,AH-2
215,Outside,,FT4,AH-2
216,Outside,,FT4,AH-2
217,Outside,,FT4,AH-2
218,Outside,,FT4,AH-2
219,Inside,,FT4,AH-2
220,Outside,,FT4,AH-2
301,Outside,,ST1,AH-2
302,Inside,,ST1,AH-2
303,Outside,,ST1,AH-2
304,Inside,,ST1,AH-2
305,Outside,,ST1,AH-2
306,Outside,,ST2,AH-2
307,Outside,,ST2,AH-2
308,Outside,,ST2,AH-2
309,Inside,,ST2,AH-2
310,Outside,,ST2,AH-2
311,Outside,,ST3,AH-2
312,Inside,,ST3,AH-2
313,Outside,,ST3,AH-2
314,Inside,,ST3,AH-2
315,Outside,,ST3,AH-2
316,Outside,,ST4,AH-2
317,Outside,,ST4,AH-2
318,Outside,,ST4,AH-2
319,Inside,,ST4,AH-2
320,Outside,,ST4,AH-2
101,Outside,,GT1,AH-3
102,Inside,,GT1,AH-3
103,Outside,,GT1,AH-3
104,Inside,,GT1,AH-3
105,Outside,,GT1,AH-3
106,Outside,,GT2,AH-3
107,Outside,,GT2,AH-3
108,Outside,,GT2,AH-3
109,Inside,,GT2,AH-3
110,Outside,,GT2,AH-3
111,Outside,,GT3,AH-3
112,Inside,,GT3,AH-3
113,Outside,,GT3,AH-3
114,Inside,,GT3,AH-3
115,Outside,,GT3,AH-3
116,Outside,,GT4,AH-3
117,Outside,,GT4,AH-3
