Number,WesternToilets,TotalToilets,HasWater,Hostel
GT1,4,4,,AH-1
GT2,2,4,,AH-1
GT3,4,4,,AH-1
GT4,4,4,,AH-1
FT1,3,4,,AH-1
FT2,4,4,,AH-1
FT3,4,4,,AH-1
FT4,3,4,,AH-1
ST1,2,4,,AH-1
ST2,4,4,,AH-1
ST3,4,4,,AH-1
ST4,3,4,,AH-1
GT1,2,4,,AH-2
GT2,2,4,,AH-2
GT3,3,4,,AH-2
GT4,4,4,,AH-2
FT1,3,4,,AH-2
FT2,2,4,,AH-2
FT3,4,4,,AH-2
FT4,3,4,,AH-2
ST1,4,4,,AH-2
ST2,2,4,,AH-2
ST3,2,4,,AH-2
ST4,3,4,,AH-2
GT1,4,4,,AH-3
GT2,4,4,,AH-3
GT3,3,4,,AH-3
GT4,3,4,,AH-3
FT1,4,4,,AH-3
FT2,4,4,,AH-3
FT3,3,4,,AH-3
FT4,4,4,,AH-3
ST1,3,4,,AH-3
ST2,2,4,,AH-3
ST3,3,4,,AH-3
ST4,4,4,,AH-3
GT1,4,4,,AH-4
GT2,4,4,,AH-4
GT3,4,4,,AH-4
GT4,4,4,,AH-4
FT1,4,4,,AH-4
FT2,4,4,,AH-4
FT3,4,4,,AH-4
FT4,4,4,,AH-4
ST1,4,4,,AH-4
ST2,4,4,,AH-4
ST3,4,4,,AH-4
ST4,4,4,,AH-4
